Forename,Surname,Description on ballot paper,Constituency Name,PANO,Votes,Share (%),Change,Incumbent?,Constituency ID ,Region ID,County ,Region ,Country ,Constituency type,Party name identifier,Party abbreviation
Ron,Hughes,UKIP,Rhondda,470,3998,12.7,11.5,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Lyn,Hudson,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Rhondda,470,2116,6.7,0.3,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
George,Summers,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Rhondda,470,474,1.5,-9.2,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Lisa,Rapado,The Green Party/Plaid Werdd,Rhondda,470,453,1.4,,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Nick,Thomas-Symonds,Welsh Labour/Llafur Cymru,Torfaen,576,16938,44.7,-0.1,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Graham,Smith,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Torfaen,576,8769,23.1,3.1,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Ken,Beswick,UK Independence Party (UKIP),Torfaen,576,7203,19,16.7,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Boydd,Hackley-Green,Plaid Cymru - The Party of Wales,Torfaen,576,2169,5.7,0.4,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Alison,Willott,Liberal Democrat,Torfaen,576,1271,3.4,-13.3,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Matt,Cooke,Green Party/Plaid Werdd,Torfaen,576,746,2,0.8,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
John,Cox,Socialist Labour Party/Plaid Lafur Sosialaidd,Torfaen,576,697,1.8,,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Mark,Griffiths,Communist Party,Torfaen,576,144,0.4,,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Communist Party of Britain,Comm
David,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Monmouth,401,23701,49.9,1.6,MP,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Ruth,Jones,Welsh Labour/Llafur Cymru,Monmouth,401,12719,26.8,0.9,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Gareth,Dunn,UK Independence Party (UKIP),Monmouth,401,4942,10.4,8,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Veronica,German,Liberal Democrat/Democratiaid Rhyddfrydol,Monmouth,401,2496,5.3,-14.1,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Jonathan ,Clark,Plaid Cymru - The Party of Wales,Monmouth,401,1875,4,1.2,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Chris,Were,Green Party/Plaid Werdd,Monmouth,401,1629,3.4,2.2,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Stephen,Morris,English Democrats - Letting Monmouthshire Decide,Monmouth,401,100,0.2,,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,English Democrats,Eng Dem
Jessica,Morden,Welsh Labour/Llafur Cymru,Newport East,417,14290,40.7,3.7,MP,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Natasha,Asghar,Welsh Conservative Party Candidate,Newport East,417,9585,27.3,4.3,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
David,Stock,UK Independence Party (UKIP),Newport East,417,6466,18.4,16.5,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Paul,Halliday,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Newport East,417,2251,6.4,-25.8,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Anthony,Salkeld,Plaid Cymru - The Party of Wales,Newport East,417,1231,3.5,1.4,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
David,Mclean,Green Party/Plaid Werdd,Newport East,417,887,2.5,,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Shangara,Singh Bhatoe,Socialist Labour Party/Plaid Lafur Sosialaidd,Newport East,417,398,1.1,0.8,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Paul,Flynn,Welsh Labour/Llafur Cymru,Newport West,418,16633,41.2,0,MP,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Nick,Webb,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Newport West,418,13123,32.5,0.2,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Gordon,Norrie,UK Independence Party (UKIP),Newport West,418,6134,15.2,12.3,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Simon,Coopey,Plaid Cymru - The Party of Wales,Newport West,418,1604,4,1.2,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Ed,Townsend,Liberal Democrats,Newport West,418,1581,3.9,-12.7,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Pippa,Bartolotti,Wales Green Party,Newport West,418,1272,3.2,2,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Hywel,Williams,Plaid Cymru - The Party of Wales,Arfon,16,11790,43.9,8,MP,W07000057,W92000004,Gwynedd,Wales,Wales,County,Plaid Cymru,PC
Alun,Pugh,Welsh Labour/Llafur Cymru,Arfon,16,8122,30.3,-0.1,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Labour,Lab
Anwen,Barry,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Arfon,16,3521,13.1,-3.8,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Conservative,Con
Simon,Wall,UK Independence Party (UKIP),Arfon,16,2277,8.5,5.9,,W07000057,W92000004,Gwynedd,Wales,Wales,County,UK Independence Party,UKIP
Mohammed,Shultan,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Arfon,16,718,2.7,-11.4,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Liberal Democrat,LD
Kathrine,Jones,Socialist Labour Party/Plaid Lafur Sosialaidd,Arfon,16,409,1.5,,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Socialist Labour Party,SLP
Guto ,Bebb,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Aberconwy,2,12513,41.5,5.7,MP,W07000058,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Mary,Wimbury,Welsh Labour/Llafur Cymru,Aberconwy,2,8514,28.2,3.8,,W07000058,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Dafydd,Meurig,Plaid Cymru - The Party of Wales,Aberconwy,2,3536,11.7,-6.1,,W07000058,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Andrew ,Haigh,UKIP,Aberconwy,2,3467,11.5,9.4,,W07000058,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Victor,Babu,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Aberconwy,2,1391,4.6,-14.7,,W07000058,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Petra ,Haig,Green Party/Plaid Werdd,Aberconwy,2,727,2.4,,,W07000058,W92000004,Clwyd,Wales,Wales,County,Green,Green
David,Jones,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Clwyd West,155,16463,43.3,1.8,MP,W07000059,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Gareth,Thomas,Welsh Labour/Llafur Cymru,Clwyd West,155,9733,25.6,0.9,,W07000059,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Warwick,Nicholson,UKIP,Clwyd West,155,4988,13.1,10.9,,W07000059,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Marc,Jones,Plaid Cymru - The Party of Wales,Clwyd West,155,4651,12.2,-3.2,,W07000059,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Sarah,Lesiter-Burgess,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Clwyd West,155,1387,3.7,-11.6,,W07000059,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Bob,English,Socialist Labour Party/Plaid Lafur Sosialaidd,Clwyd West,155,612,1.6,,,W07000059,W92000004,Clwyd,Wales,Wales,County,Socialist Labour Party,SLP
Rory,Jepson,Trying to fix a broken system,Clwyd West,155,194,0.5,,,W07000059,W92000004,Clwyd,Wales,Wales,County,The Above and Beyond Party,The Above and Beyond Party
James,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Vale Of Clwyd,588,13760,39,3.8,,W07000060,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Christopher,Ruane,Welsh Labour/Llafur Cymru,Vale Of Clwyd,588,13523,38.4,-3.9,MP,W07000060,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Paul,Davies-Cooke,UK Independence Party (UK IP),Vale Of Clwyd,588,4577,13,11.5,,W07000060,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Mair,Rowlands,Plaid Cymru - The Party of Wales,Vale Of Clwyd,588,2486,7.1,1.2,,W07000060,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Gwyn,Williams,Liberal Democrat/Democratiaid Rhyddfrydol,Vale Of Clwyd,588,915,2.6,-10,,W07000060,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Liz ,Roberts,Plaid Cymru - The Party of Wales,Dwyfor Meirionnydd,217,11811,40.9,-3.5,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Plaid Cymru,PC
Neil,Fairlamb,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Dwyfor Meirionnydd,217,6550,22.7,0.4,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Conservative,Con
Mary,Griffiths Clarke,Welsh Labour/Llafur Cymru,Dwyfor Meirionnydd,217,3904,13.5,-0.4,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Labour,Lab
Christopher,Gillibrand,UK Independence Party (UKIP),Dwyfor Meirionnydd,217,3126,10.8,8.1,,W07000061,W92000004,Gwynedd,Wales,Wales,County,UK Independence Party,UKIP
Louise,Hughes,Annibynnol-Independent,Dwyfor Meirionnydd,217,1388,4.8,,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Independent,Ind
Stephen,Churchman,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Dwyfor Meirionnydd,217,1153,4,-8.3,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Liberal Democrat,LD
Marc,Fothergill,The Green Party/Plaid Werdd,Dwyfor Meirionnydd,217,981,3.4,,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Green,Green
Susan ,Jones,Welsh Labour/Llafur Cymru,Clwyd South,154,13051,37.2,-1.2,MP,W07000062,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
David,Nicholls,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Clwyd South,154,10649,30.4,0.2,,W07000062,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Mandy,Jones,UKIP,Clwyd South,154,5480,15.6,13.3,,W07000062,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Mabon,ap Gwynfor,Plaid Cymru - The Party of Wales,Clwyd South,154,3620,10.3,1.7,,W07000062,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Bruce,Roberts,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Clwyd South,154,1349,3.9,-13.4,,W07000062,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Duncan,Rees,Green Party/Plaid Werdd,Clwyd South,154,915,2.6,,,W07000062,W92000004,Clwyd,Wales,Wales,County,Green,Green
Glyn,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Montgomeryshire,402,15204,45,3.7,MP,W07000063,W92000004,Powys,Wales,Wales,County,Conservative,Con
